ep	step	tier
L-015	8	4
L-015	9	4
L-015	10	4
L-015	11	4
L-015	12	4
L-015	13	4
L-015	14	4
L-015	15	4
L-015	16	4
L-015	17	4
L-015	18	4
L-015	19	4
L-015	20	4
L-015	21	4
L-015	22	4
L-015	23	4
L-015	24	4
L-015	25	4
L-015	26	4
L-015	27	4
L-015	28	4
L-015	29	4
L-015	30	4
L-015	31	4
L-015	32	4
L-015	33	4
L-015	34	4
L-015	35	4
L-015	36	4
L-015	37	4
L-015	38	4
L-015	39	4
L-015	40	4
L-015	41	4
L-015	42	4
L-015	43	4
L-015	44	4
L-015	45	4
L-015	46	4
L-015	47	4
L-015	48	4
L-015	49	4
L-015	50	4
L-015	51	4
L-015	52	4
L-015	53	4
L-015	54	4
L-015	55	4
L-015	56	4
L-015	57	4
L-015	58	4
L-015	59	4
L-015	60	4
L-015	61	4
L-015	62	4
L-015	63	4
L-015	64	1
L-015	65	1
L-015	66	1
L-015	67	1
L-015	68	1
L-015	69	1
L-016	0	4
L-016	1	4
L-016	2	4
L-016	3	4
L-016	4	4
L-016	5	4
L-016	6	4
L-016	7	4
L-016	8	4
L-016	9	4
L-016	10	4
L-016	11	4
L-016	12	4
L-016	13	4
L-016	14	4
L-016	15	4
L-016	16	4
L-016	17	4
L-016	18	4
L-016	19	4
L-016	20	4
L-016	21	4
L-016	22	4
L-016	23	4
L-016	24	4
L-016	25	4
L-016	26	4
L-016	27	4
L-016	28	4
L-016	29	4
L-016	30	4
L-016	31	4
L-016	32	4
L-016	33	4
L-016	34	4
L-016	35	4
L-016	36	4
L-016	37	4
L-016	38	4
L-016	39	4
L-016	40	4
L-016	41	4
L-016	42	4
L-016	43	4
L-016	44	4
L-016	45	4
L-016	46	4
L-016	47	4
L-016	48	4
L-016	49	4
L-016	50	4
L-016	51	4
L-016	52	4
L-016	53	4
L-016	54	4
L-016	55	4
L-016	56	4
L-016	57	4
L-016	58	4
L-016	59	4
L-016	60	4
L-016	61	4
L-016	62	4
L-016	63	4
L-016	64	1
L-016	65	1
L-016	66	1
L-016	67	1
L-016	68	1
L-016	69	1
L-017	0	4
L-017	1	4
L-017	2	4
L-017	3	4
L-017	4	4
L-017	5	4
L-017	6	4
L-017	7	4
L-017	8	4
L-017	9	4
L-017	10	4
L-017	11	4
L-017	12	4
L-017	13	4
L-017	14	4
L-017	15	4
L-017	16	4
L-017	17	4
L-017	18	4
L-017	19	4
L-017	20	4
L-017	21	4
L-017	22	4
L-017	23	4
L-017	24	4
L-017	25	4
L-017	26	4
L-017	27	4
L-017	28	4
L-017	29	4
L-017	30	4
L-017	31	4
L-017	32	4
L-017	33	4
L-017	34	4
L-017	35	4
L-017	36	4
L-017	37	4
L-017	38	4
L-017	39	4
L-017	40	4
L-017	41	4
L-017	42	4
L-017	43	4
L-017	44	4
L-017	45	4
L-017	46	4
L-017	47	4
L-017	48	4
L-017	49	4
L-017	50	4
L-017	51	4
L-017	52	4
L-017	53	4
L-017	54	4
L-017	55	4
L-017	56	4
L-017	57	4
L-017	58	4
L-017	59	4
L-017	60	4
L-017	61	4
L-017	62	4
L-017	63	4
L-017	64	1
L-017	65	1
L-017	66	1
L-017	67	1
L-017	68	1
L-017	69	1
L-018	0	4
L-018	1	4
L-018	2	4
L-018	3	4
L-018	4	4
L-018	5	4
L-018	6	4
L-018	7	4
L-018	8	4
L-018	9	4
L-018	10	4
L-018	11	4
L-018	12	4
L-018	13	4
L-018	14	4
L-018	15	4
L-018	16	4
L-018	17	4
L-018	18	4
L-018	19	4
L-018	20	4
L-018	21	4
L-018	22	4
L-018	23	4
L-018	24	4
L-018	25	4
L-018	26	4
L-018	27	4
L-018	28	4
L-018	29	4
L-018	30	4
L-018	31	4
L-018	32	4
L-018	33	4
L-018	34	4
L-018	35	4
L-018	36	4
L-018	37	4
L-018	38	4
L-018	39	4
L-018	40	4
L-018	41	4
L-018	42	4
L-018	43	4
L-018	44	4
L-018	45	4
L-018	46	4
L-018	47	4
L-018	48	4
L-018	49	4
L-018	50	4
L-018	51	4
L-018	52	4
L-018	53	4
L-018	54	4
L-018	55	4
L-018	56	4
L-018	57	4
L-018	58	4
L-018	59	4
L-018	60	4
L-018	61	4
L-018	62	4
L-018	63	4
L-018	64	1
L-018	65	1
L-018	66	1
L-018	67	1
L-018	68	1
L-018	69	1
L-019	0	4
L-019	1	4
L-019	2	4
L-019	3	4
L-019	4	4
L-019	5	4
L-019	6	4
L-019	7	4
L-019	8	4
L-019	9	4
L-019	10	4
L-019	11	4
L-019	12	4
L-019	13	4
L-019	14	4
L-019	15	4
L-019	16	4
L-019	17	4
L-019	18	4
L-019	19	4
L-019	20	4
L-019	21	4
L-019	22	4
L-019	23	4
L-019	24	4
L-019	25	4
L-019	26	4
L-019	27	4
L-019	28	4
L-019	29	4
L-019	30	4
L-019	31	4
L-019	32	4
L-019	33	4
L-019	34	4
L-019	35	4
L-019	36	4
L-019	37	4
L-019	38	4
L-019	39	4
L-019	40	4
L-019	41	4
L-019	42	4
L-019	43	4
L-019	44	4
L-019	45	4
L-019	46	4
L-019	47	4
L-019	48	4
L-019	49	4
L-019	50	4
L-019	51	4
L-019	52	4
L-019	53	4
L-019	54	4
L-019	55	4
L-019	56	4
L-019	57	4
L-019	58	4
L-019	59	4
L-019	60	4
L-019	61	4
L-019	62	4
L-019	63	4
L-019	64	1
L-019	65	1
L-019	66	1
L-019	67	1
L-019	68	1
L-019	69	1
L-020	0	4
L-020	1	4
L-020	2	4
L-020	3	4
L-020	4	4
L-020	5	4
L-020	6	4
L-020	7	4
L-020	8	4
L-020	9	4
L-020	10	4
L-020	11	4
L-020	12	4
L-020	13	4
L-020	14	4
L-020	15	4
L-020	16	4
L-020	17	4
L-020	18	4
L-020	19	4
L-020	20	4
L-020	21	4
L-020	22	4
L-020	23	4
L-020	24	4
L-020	25	4
L-020	26	4
L-020	27	4
L-020	28	4
L-020	29	4
L-020	30	4
L-020	31	4
L-020	32	4
L-020	33	4
L-020	34	4
L-020	35	4
L-020	36	4
L-020	37	4
L-020	38	4
L-020	39	4
L-020	40	4
L-020	41	4
L-020	42	4
L-020	43	4
L-020	44	4
L-020	45	4
L-020	46	4
L-020	47	4
L-020	48	4
L-020	49	4
L-020	50	4
L-020	51	4
L-020	52	4
L-020	53	4
L-020	54	4
L-020	55	4
L-020	56	4
L-020	57	4
L-020	58	4
L-020	59	4
L-020	60	4
L-020	61	4
L-020	62	4
L-020	63	4
L-020	64	1
L-020	65	1
L-020	66	1
L-020	67	1
L-020	68	1
L-020	69	1
L-021	0	4
L-021	1	4
L-021	2	4
L-021	3	4
L-021	4	4
L-021	5	4
L-021	6	4
L-021	7	4
L-021	8	4
L-021	9	4
L-021	10	4
L-021	11	4
L-021	12	4
L-021	13	4
L-021	14	4
L-021	15	4
L-021	16	4
L-021	17	4
L-021	18	4
L-021	19	4
L-021	20	4
L-021	21	4
L-021	22	4
L-021	23	4
L-021	24	4
L-021	25	4
L-021	26	4
L-021	27	4
L-021	28	4
L-021	29	4
L-021	30	4
L-021	31	4
L-021	32	4
L-021	33	4
L-021	34	4
L-021	35	4
L-021	36	4
L-021	37	4
L-021	38	4
L-021	39	4
L-021	40	4
L-021	41	4
L-021	42	4
L-021	43	4
L-021	44	4
L-021	45	4
L-021	46	4
L-021	47	4
L-021	48	4
L-021	49	4
L-021	50	4
L-021	51	4
L-021	52	4
L-021	53	4
L-021	54	4
L-021	55	4
L-021	56	4
L-021	57	4
L-021	58	4
L-021	59	4
L-021	60	4
L-021	61	4
L-021	62	4
L-021	63	4
L-021	64	1
L-021	65	1
L-021	66	1
L-021	67	1
L-021	68	1
L-021	69	1
L-022	0	4
L-022	1	4
L-022	2	4
L-022	3	4
L-022	4	4
L-022	5	4
L-022	6	4
L-022	7	4
L-022	8	4
L-022	9	4
L-022	10	4
L-022	11	4
L-022	12	4
L-022	13	4
L-022	14	4
L-022	15	4
L-022	16	4
L-022	17	4
L-022	18	4
L-022	19	4
L-022	20	4
L-022	21	4
L-022	22	4
L-022	23	4
L-022	24	4
L-022	25	4
L-022	26	4
L-022	27	4
L-022	28	4
L-022	29	4
L-022	30	4
L-022	31	4
L-022	32	4
L-022	33	4
L-022	34	4
L-022	35	4
L-022	36	4
L-022	37	4
L-022	38	4
L-022	39	4
L-022	40	4
L-022	41	4
L-022	42	4
L-022	43	4
L-022	44	4
L-022	45	4
L-022	46	4
L-022	47	4
L-022	48	4
L-022	49	4
L-022	50	4
L-022	51	4
L-022	52	4
L-022	53	4
L-022	54	4
L-022	55	4
L-022	56	4
L-022	57	4
L-022	58	4
L-022	59	4
L-022	60	4
L-022	61	4
L-022	62	4
L-022	63	4
L-022	64	1
L-022	65	1
L-022	66	1
L-022	67	1
L-022	68	1
L-022	69	1
L-023	0	4
L-023	1	4
L-023	2	4
L-023	3	4
L-023	4	4
L-023	5	4
L-023	6	4
L-023	7	4
L-023	8	4
L-023	9	4
L-023	10	4
L-023	11	4
L-023	12	4
L-023	13	4
L-023	14	4
L-023	15	4
L-023	16	4
L-023	17	4
L-023	18	4
L-023	19	4
L-023	20	4
L-023	21	4
L-023	22	4
L-023	23	4
L-023	24	4
L-023	25	4
L-023	26	4
L-023	27	4
L-023	28	4
L-023	29	4
L-023	30	4
L-023	31	4
L-023	32	4
L-023	33	4
L-023	34	4
L-023	35	4
L-023	36	4
L-023	37	4
L-023	38	4
L-023	39	4
L-023	40	4
L-023	41	4
L-023	42	4
L-023	43	4
L-023	44	4
L-023	45	4
L-023	46	4
L-023	47	4
L-023	48	4
L-023	49	4
L-023	50	4
L-023	51	4
L-023	52	4
L-023	53	4
L-023	54	4
L-023	55	4
L-023	56	4
L-023	57	4
L-023	58	4
L-023	59	4
L-023	60	4
L-023	61	4
L-023	62	4
L-023	63	4
L-023	64	1
L-023	65	1
L-023	66	1
L-023	67	1
L-023	68	1
L-023	69	1
L-024	0	4
L-024	1	4
L-024	2	4
L-024	3	4
L-024	4	4
L-024	5	4
L-024	6	4
L-024	7	4
L-024	8	4
L-024	9	4
L-024	10	4
L-024	11	4
L-024	12	4
L-024	13	4
L-024	14	4
L-024	15	4
L-024	16	4
L-024	17	4
L-024	18	4
L-024	19	4
L-024	20	4
L-024	21	4
L-024	22	4
L-024	23	4
L-024	24	4
L-024	25	4
L-024	26	4
L-024	27	4
L-024	28	4
L-024	29	4
L-024	30	4
L-024	31	4
L-024	32	4
L-024	33	4
L-024	34	4
L-024	35	4
L-024	36	4
L-024	37	4
L-024	38	4
L-024	39	4
L-024	40	4
L-024	41	4
L-024	42	4
L-024	43	4
L-024	44	4
L-024	45	4
L-024	46	4
L-024	47	4
L-024	48	4
L-024	49	4
L-024	50	4
L-024	51	4
L-024	52	4
L-024	53	4
L-024	54	4
L-024	55	4
L-024	56	4
L-024	57	4
L-024	58	4
L-024	59	4
L-024	60	4
L-024	61	4
L-024	62	4
L-024	63	4
L-024	64	1
L-024	65	1
L-024	66	1
L-024	67	1
L-024	68	1
L-024	69	1
L-025	0	4
L-025	1	4
L-025	2	4
L-025	3	4
L-025	4	4
L-025	5	4
L-025	6	4
L-025	7	4
L-025	8	4
L-025	9	4
L-025	10	4
L-025	11	4
L-025	12	4
L-025	13	4
L-025	14	4
L-025	15	4
L-025	16	4
L-025	17	4
L-025	18	4
L-025	19	4
L-025	20	4
L-025	21	4
L-025	22	4
L-025	23	4
L-025	24	4
L-025	25	4
L-025	26	4
L-025	27	4
L-025	28	4
L-025	29	4
L-025	30	4
L-025	31	4
L-025	32	4
L-025	33	4
L-025	34	4
L-025	35	4
L-025	36	4
L-025	37	4
L-025	38	4
L-025	39	4
L-025	40	4
L-025	41	4
L-025	42	4
L-025	43	4
L-025	44	4
L-025	45	4
L-025	46	4
L-025	47	4
L-025	48	4
L-025	49	4
L-025	50	4
L-025	51	4
L-025	52	4
L-025	53	4
L-025	54	4
L-025	55	4
L-025	56	4
L-025	57	4
L-025	58	4
L-025	59	4
L-025	60	4
L-025	61	4
L-025	62	4
L-025	63	4
L-025	64	1
L-025	65	1
L-025	66	1
L-025	67	1
