# prereg_sha f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
# arm SR-S1 stage=1 mask=ON (PREREG_SR.md section 5b)
# mask integers: k{4,6}:num=10(C-Y)f_k; k{1,7}:num=2(C-Y)f_k+8*rise*f_k; k0:num=0 iff f7=1000 else 2(C-Y)f_1+8*rise*f_1; k{2,3,5}:num=0; b:ordinary v2; DIV2=40000; clamp +-2000000
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
33	1	6170037	5	15	0	9766	-2316	0	0	15213	0	2871	181	-16073	791	14	728
34	2	86819937	0	19	0	11605	-2106	0	0	18831	0	1621	211	-13964	878	160	820
35	2	79313532	35	19	0	12843	-2021	0	0	19971	0	371	211	-13403	884	191	828
36	0	73701595	0	16	0	15193	-2005	0	0	21932	0	1512	211	-9928	972	519	936
37	0	24214112	0	13	0	15738	-1997	0	0	22306	0	1512	211	-9674	979	528	943
38	1	109662646	24	16	0	12848	-3083	0	0	18273	0	1512	211	-16908	835	43	771
39	1	22732020	5	15	0	12348	-3331	0	0	18174	0	2762	211	-19096	796	14	733
40	2	87462101	0	19	0	14198	-3117	0	0	21837	0	1512	241	-16971	876	112	814
41	2	77565019	35	18	0	15491	-3017	0	0	23247	0	262	241	-16135	883	190	827
42	0	93472039	0	16	0	18303	-3001	0	0	25632	0	1598	241	-11868	974	520	937
43	0	24631332	0	13	0	18854	-2993	0	0	26009	0	1598	241	-11655	978	524	942
44	1	112604526	24	18	0	15939	-4029	0	0	21781	0	1598	241	-19144	862	54	797
45	1	34802185	15	15	0	15047	-4442	0	0	21176	0	2848	241	-22137	805	14	741
46	2	87435604	0	19	0	16897	-4228	0	0	24834	0	1598	271	-19976	874	77	810
47	2	78540440	5	17	0	18255	-4109	0	0	26511	0	348	271	-18886	883	190	827
48	0	110969252	0	16	0	21497	-4093	0	0	29312	0	1701	271	-13867	974	522	938
49	0	24979374	0	13	0	22055	-4084	0	0	29694	0	1701	271	-13646	978	523	941
50	1	116092805	28	19	0	19005	-5099	0	0	25169	0	1701	271	-21462	876	65	810
51	1	45805570	20	14	0	17761	-5628	0	0	24154	0	2951	271	-25166	813	14	749
52	2	87417365	0	19	0	19610	-5414	0	0	27810	0	1701	301	-22943	874	71	809
53	2	77443283	5	19	0	21064	-5270	0	0	29706	0	451	301	-21638	884	190	828
54	0	127567752	0	16	0	24727	-5254	0	0	32889	0	1785	301	-15914	974	522	938
55	0	25598376	0	16	0	25298	-5244	0	0	33285	0	1785	301	-15665	978	523	941
56	1	128526859	28	19	0	22003	-6250	0	0	28374	0	1785	301	-24086	881	76	815
57	1	52643125	20	15	0	20550	-6848	0	0	27124	0	3035	301	-28212	821	15	756
58	2	87381505	0	18	0	22398	-6634	0	0	30773	0	1785	331	-25976	873	63	807
59	2	77353540	5	19	0	23955	-6465	0	0	32886	0	535	331	-24438	884	190	828
60	0	143569647	0	17	0	27998	-6449	0	0	36372	0	1833	331	-18111	974	521	937
61	0	26598941	0	16	0	28610	-6439	0	0	36811	0	1833	331	-17784	977	523	940
62	1	139218814	27	19	0	25143	-7426	0	0	31616	0	1833	331	-26644	882	87	818
63	1	64179255	20	15	0	23437	-8098	0	0	30083	0	3083	331	-31275	829	18	763
64	2	87246228	0	17	0	25281	-7885	0	0	33716	0	1833	361	-29047	872	58	806
65	2	78000000	0	19	0	26885	-7706	0	0	35927	0	583	361	-27401	884	187	827
66	0	153958272	0	17	0	31247	-7690	0	0	39631	0	1950	361	-20648	969	514	932
67	0	30146826	0	16	0	32032	-7679	0	0	40263	0	1950	361	-19965	976	523	939
68	1	142970930	27	19	0	28507	-8631	0	0	34930	0	1950	361	-29023	884	87	820
69	1	81886525	20	13	0	26454	-9415	0	0	33008	0	3200	361	-34346	834	22	768
70	2	87033644	0	17	0	28294	-9204	0	0	36612	0	1950	391	-32128	872	58	806
71	2	78000000	0	19	0	29898	-9025	0	0	38823	0	700	391	-30484	883	180	826
72	0	163961907	0	17	0	34527	-9009	0	0	42716	0	2122	391	-23395	963	474	923
73	0	40496467	0	16	0	35584	-8995	0	0	43649	0	2122	391	-22170	976	523	939
74	1	145114481	26	19	0	32052	-9911	0	0	38250	0	2122	391	-31233	887	119	825
75	1	98229885	20	13	0	29669	-10959	0	0	35862	0	3372	391	-37232	843	28	777
76	2	85722233	0	17	0	31473	-10751	0	0	39327	0	2122	421	-35057	873	58	807
77	2	78000000	0	19	0	33077	-10572	0	0	41538	0	872	421	-33413	884	134	823
78	0	167378175	0	17	0	37859	-10556	0	0	45552	0	2128	421	-26189	958	383	911
79	0	54524708	0	16	0	39184	-10541	0	0	46776	0	2128	421	-24440	975	523	938
80	1	145029584	26	19	0	35676	-11429	0	0	41371	0	2128	421	-33447	888	177	830
81	1	103775240	20	14	0	33176	-12594	0	0	38707	0	3181	421	-39707	855	29	788
82	2	84112481	0	17	0	34923	-12395	0	0	41881	0	1931	451	-37638	877	58	811
83	2	78000000	0	19	0	36527	-12216	0	0	44092	0	681	451	-35990	885	114	823
84	0	166144961	0	19	0	41316	-12200	0	0	48144	0	1615	451	-28839	956	362	908
85	0	59950185	0	16	0	42865	-12185	0	0	49675	0	1615	451	-26629	975	523	938
86	1	145000000	25	18	0	39365	-13065	0	0	44270	0	1615	451	-35604	890	190	833
87	1	102237185	20	14	0	36865	-14230	0	0	41454	0	2364	451	-41906	862	43	795
88	2	83135496	0	17	0	38590	-14036	0	0	44501	0	1114	481	-39878	882	71	816
89	2	78079090	5	19	0	40172	-13858	0	0	46681	0	-136	481	-38283	886	127	825
90	0	162478870	0	20	0	44916	-13842	0	0	50805	0	572	481	-31186	956	362	908
91	0	63423457	0	16	0	46557	-13827	0	0	52454	0	572	481	-28805	975	523	938
92	1	145000000	25	17	0	43057	-14707	0	0	47049	0	572	481	-37757	893	190	836
93	1	102195467	20	16	0	40557	-15872	0	0	44228	0	1313	481	-44056	868	43	801
94	2	79670120	0	17	0	42202	-15687	0	0	46818	0	63	511	-42182	882	79	817
95	2	79730555	5	19	0	43697	-15523	0	0	48872	0	-1187	511	-40804	887	90	822
96	0	167475796	0	20	0	48511	-15507	0	0	53184	0	-300	511	-33484	956	362	908
97	0	66646677	0	16	0	50229	-15492	0	0	54940	0	-300	511	-30956	974	503	936
98	1	145000000	25	18	0	46729	-16372	0	0	49535	0	-300	511	-39891	900	190	842
99	1	102064983	20	16	0	44229	-17537	0	0	46701	0	413	511	-46178	870	49	804
100	2	79000000	0	17	0	45843	-17355	0	0	49112	0	-837	541	-44362	883	86	819
101	2	85260550	5	19	0	47220	-17209	0	0	50999	0	-2087	541	-43273	887	88	823
102	0	172086712	0	20	0	52078	-17193	0	0	55462	0	-1164	541	-35813	956	362	908
103	0	70844759	0	16	0	53886	-17177	0	0	57347	0	-1164	541	-33131	974	456	932
104	1	145000000	25	18	0	50386	-18057	0	0	51942	0	-1164	541	-42039	904	190	846
105	1	102079592	20	17	0	47886	-19222	0	0	49109	0	-447	541	-48308	872	58	806
106	2	79000000	0	17	0	49500	-19040	0	0	51520	0	-1697	571	-46486	885	87	821
107	2	93055370	5	19	0	50743	-18914	0	0	53215	0	-2947	571	-45712	888	88	823
108	0	174115086	0	19	0	55585	-18898	0	0	57741	0	-2034	571	-38251	952	362	905
109	0	76787170	0	17	0	57525	-18882	0	0	59809	0	-2034	571	-35337	974	408	928
110	1	145000000	25	18	0	54025	-19762	0	0	54404	0	-2034	571	-44214	909	191	851
111	1	102133550	20	17	0	51525	-20927	0	0	51577	0	-1306	571	-50475	879	58	812
112	2	78592900	0	17	0	53136	-20746	0	0	53942	0	-2556	594	-48657	887	87	822
113	2	99909505	5	19	0	54279	-20636	0	0	55496	0	-3806	594	-48105	889	88	824
114	0	171024590	0	19	0	59016	-20620	0	0	59964	0	-2941	594	-40794	946	288	892
115	0	84655374	0	17	0	61126	-20604	0	0	62264	0	-2941	594	-37596	974	406	928
116	1	145000000	25	18	0	57626	-21484	0	0	56859	0	-2941	594	-46460	914	194	856
117	1	102579262	20	18	0	55126	-22649	0	0	54075	0	-2127	594	-52753	881	64	815
118	2	78178084	0	18	0	56734	-22469	0	0	56370	0	-3377	606	-50968	888	87	823
119	2	103000000	5	19	0	57838	-22365	0	0	57871	0	-4627	606	-50505	890	90	825
120	0	167671589	0	19	0	62455	-22349	0	0	62268	0	-3841	606	-43366	939	248	883
121	0	91994367	0	17	0	64711	-22333	0	0	64762	0	-3841	606	-39937	974	405	928
122	1	145000000	25	18	0	61211	-23213	0	0	59357	0	-3841	606	-48803	918	196	860
123	1	103127422	20	18	0	58711	-24378	0	0	56632	0	-2909	606	-55191	882	72	816
124	2	78039204	0	18	0	60316	-24199	0	0	58882	0	-4159	611	-53411	889	87	824
125	2	103000000	5	19	0	61420	-24095	0	0	60383	0	-5409	611	-52942	893	92	828
126	0	164423747	0	19	0	65928	-24079	0	0	64723	0	-4719	611	-45967	939	248	883
127	0	97626763	0	17	0	68276	-24063	0	0	67330	0	-4719	611	-42364	973	400	927
128	1	145000000	25	18	0	64776	-24943	0	0	61925	0	-4719	611	-51239	920	197	862
129	1	103807305	20	18	0	62276	-26108	0	0	59264	0	-3659	611	-57680	883	73	818
130	2	78000000	0	18	0	63880	-25929	0	0	61475	0	-4909	611	-55900	890	87	825
131	2	103000000	5	19	0	64984	-25825	0	0	62976	0	-6159	611	-55426	897	94	832
132	0	162949131	0	18	0	69526	-25809	0	0	67545	0	-5544	611	-48306	939	248	883
133	0	98000000	0	17	0	71880	-25793	0	0	70157	0	-5544	611	-44694	972	397	925
134	1	145000000	25	18	0	68380	-26673	0	0	64752	0	-5544	611	-53549	922	201	863
135	1	103695810	20	18	0	65880	-27838	0	0	62080	0	-4507	611	-59989	884	74	818
136	2	78059910	5	18	0	67465	-27660	0	0	64264	0	-5757	611	-58298	890	87	825
137	2	103000000	5	19	0	68569	-27556	0	0	65765	0	-7007	611	-57817	899	99	834
138	0	162537391	0	18	0	73103	-27540	0	0	70495	0	-6480	611	-50659	939	248	883
139	0	98000000	0	17	0	75457	-27524	0	0	73107	0	-6480	611	-47047	970	394	924
140	1	145000000	25	19	0	71957	-28404	0	0	67702	0	-6480	611	-55882	923	204	865
141	1	103759656	20	18	0	69457	-29569	0	0	65036	0	-5430	611	-62315	885	84	820
142	2	82853470	5	18	0	70875	-29415	0	0	66982	0	-6680	611	-61022	891	87	826
143	2	103000000	5	19	0	71979	-29311	0	0	68483	0	-7930	611	-60539	899	97	834
144	0	169821977	0	18	0	76664	-29295	0	0	73529	0	-7130	611	-53020	939	248	883
145	0	98000000	0	17	0	79018	-29279	0	0	76141	0	-7130	611	-49409	969	390	922
146	1	145000000	25	19	0	75518	-30159	0	0	70736	0	-7130	611	-58239	924	204	865
147	1	103089785	20	18	0	73018	-31324	0	0	68008	0	-6205	611	-64688	886	87	821
148	2	91433225	5	18	0	74289	-31195	0	0	69745	0	-7455	611	-63752	891	87	826
149	2	103000000	5	18	0	75393	-31091	0	0	71246	0	-8705	611	-63270	899	96	834
150	0	177338402	0	18	0	80240	-31075	0	0	76603	0	-7747	611	-55406	939	248	883
151	0	98000000	0	17	0	82594	-31059	0	0	79215	0	-7747	611	-51794	967	387	920
152	1	145000000	25	19	0	79094	-31939	0	0	73810	0	-7747	611	-60619	924	204	866
153	1	102313989	20	18	0	76594	-33104	0	0	71001	0	-6983	611	-67079	887	87	823
154	2	99050785	5	18	0	77747	-32993	0	0	72571	0	-8233	611	-66434	892	87	827
155	2	103000000	5	18	0	78851	-32889	0	0	74072	0	-9483	611	-65950	899	96	834
156	0	183150427	0	18	0	83829	-32873	0	0	79715	0	-8475	611	-57804	939	248	883
157	0	98000000	0	17	0	86183	-32857	0	0	82327	0	-8475	611	-54193	965	383	918
158	1	145000000	25	19	0	82683	-33737	0	0	76922	0	-8475	611	-63017	925	204	867
159	1	101796221	20	18	0	80183	-34902	0	0	74056	0	-7824	611	-69465	888	87	823
160	2	103000000	5	18	0	81287	-34798	0	0	75557	0	-9074	611	-68973	896	87	830
161	2	103000000	5	18	0	82391	-34694	0	0	77058	0	-10324	611	-68484	900	100	835
162	0	185754494	0	18	0	87412	-34678	0	0	82891	0	-9324	611	-60213	939	248	883
163	0	98000000	0	17	0	89766	-34662	0	0	85503	0	-9324	611	-56602	964	380	916
164	1	145000000	25	19	0	86266	-35542	0	0	80098	0	-9324	611	-65425	927	204	868
165	1	101551083	20	18	0	83766	-36707	0	0	77204	0	-8730	611	-71880	889	87	824
166	2	103000000	5	18	0	84870	-36603	0	0	78705	0	-9980	611	-71405	897	87	831
167	2	103000000	5	19	0	85974	-36499	0	0	80206	0	-11230	611	-70907	901	102	836
168	0	186232204	0	18	0	90965	-36483	0	0	86154	0	-10231	611	-62627	939	248	883
169	0	98000000	0	17	0	93319	-36467	0	0	88766	0	-10231	611	-59016	963	377	916
170	1	145000000	25	19	0	89819	-37347	0	0	83361	0	-10231	611	-67838	928	204	869
171	1	101370273	25	19	0	87312	-38512	0	0	80439	0	-9674	611	-74321	893	87	828
172	2	103000000	5	18	0	88416	-38408	0	0	81940	0	-10924	611	-73840	898	89	832
173	2	103000000	5	19	0	89520	-38304	0	0	83441	0	-12174	611	-73327	902	102	838
174	0	186165650	0	18	0	94483	-38288	0	0	89497	0	-11180	611	-65041	939	248	883
175	0	98000000	0	18	0	96837	-38272	0	0	92109	0	-11180	611	-61446	963	377	915
176	1	145000000	25	18	0	93337	-39152	0	0	86704	0	-11180	611	-70269	929	204	870
177	1	103994328	25	19	0	90697	-40336	0	0	83608	0	-10638	611	-77125	894	87	829
178	2	103000000	5	19	0	91801	-40232	0	0	85109	0	-11888	611	-76646	898	89	832
179	2	103000000	5	19	0	92905	-40128	0	0	86610	0	-13138	611	-76140	902	102	837
180	0	193355393	0	18	0	98040	-40112	0	0	92963	0	-12060	611	-67517	939	248	883
181	0	98000000	0	18	0	100394	-40096	0	0	95575	0	-12060	611	-63938	962	377	915
182	1	145000000	25	18	0	96894	-40976	0	0	90170	0	-12060	611	-72761	930	204	872
183	1	110450457	25	19	0	94124	-42181	0	0	86878	0	-11587	611	-79985	894	87	829
184	2	103000000	5	19	0	95228	-42077	0	0	88379	0	-12837	611	-79539	897	89	832
185	2	103000000	5	19	0	96332	-41973	0	0	89880	0	-14087	611	-79038	901	102	836
186	0	201563131	0	18	0	101647	-41957	0	0	96527	0	-12876	611	-70065	939	248	883
187	0	98000000	0	19	0	104001	-41941	0	0	99139	0	-12876	611	-66505	962	374	915
188	1	145000000	25	18	0	100501	-42821	0	0	93734	0	-12876	611	-75328	931	204	872
189	1	116644663	25	19	0	97622	-44042	0	0	90252	0	-12511	611	-82861	895	87	830
190	2	103000000	5	19	0	98726	-43938	0	0	91753	0	-13761	611	-82439	897	90	832
191	2	103000000	5	20	0	99830	-43834	0	0	93254	0	-15011	611	-81968	901	102	836
192	0	208837848	0	18	0	105307	-43818	0	0	100173	0	-13690	611	-72682	939	248	883
193	0	98000000	0	18	0	107661	-43802	0	0	102785	0	-13690	611	-69157	962	370	914
194	1	145000000	25	18	0	104161	-44682	0	0	97380	0	-13690	611	-77980	932	204	873
195	1	121151923	26	19	0	101190	-45915	0	0	93743	0	-13397	611	-85770	896	87	830
196	2	103000000	5	19	0	102294	-45811	0	0	95244	0	-14647	611	-85355	897	92	832
197	2	103000000	5	20	0	103398	-45707	0	0	96745	0	-15897	611	-84904	901	102	836
198	0	215205291	0	18	0	109008	-45691	0	0	103889	0	-14494	611	-75374	939	248	883
199	0	98000000	0	18	0	111362	-45675	0	0	106501	0	-14494	611	-71856	961	366	913
200	1	145000000	25	18	0	107862	-46555	0	0	101096	0	-14494	611	-80679	932	205	873
201	1	124181013	27	19	0	104833	-47793	0	0	97344	0	-14276	611	-88656	896	87	830
202	2	103000000	5	19	0	105937	-47689	0	0	98845	0	-15526	611	-88240	898	96	833
203	2	103000000	5	20	0	107041	-47585	0	0	100346	0	-16776	611	-87795	901	102	836
204	0	219704535	0	18	0	112723	-47569	0	0	107645	0	-15324	611	-78127	939	248	883
205	0	98000000	0	17	0	115077	-47553	0	0	110257	0	-15324	611	-74631	959	362	911
206	1	145000000	25	18	0	111577	-48433	0	0	104852	0	-15324	611	-83454	933	205	874
207	1	124062626	27	19	0	108526	-49670	0	0	101055	0	-15125	611	-91516	896	87	831
208	2	103000000	5	19	0	109630	-49566	0	0	102556	0	-16375	611	-91098	898	101	834
209	2	103000000	5	20	0	110734	-49462	0	0	104057	0	-17625	611	-90649	902	102	837
210	0	221941070	0	18	0	116440	-49446	0	0	111442	0	-16153	611	-80943	939	248	883
211	0	98000000	0	17	0	118794	-49430	0	0	114054	0	-16153	611	-77442	957	362	909
212	1	145000000	25	18	0	115294	-50310	0	0	108649	0	-16153	611	-86265	933	206	874
213	1	124837363	27	19	0	112222	-51547	0	0	104814	0	-15967	611	-94368	896	87	831
214	2	103000000	5	19	0	113326	-51443	0	0	106315	0	-17217	611	-93947	899	102	834
215	2	103000000	5	20	0	114430	-51339	0	0	107816	0	-18467	611	-93491	902	102	837
216	0	222414186	0	18	0	120125	-51323	0	0	115225	0	-16982	611	-83820	939	248	883
217	0	98000000	0	18	0	122479	-51307	0	0	117837	0	-16982	611	-80301	956	362	908
218	1	145000000	25	18	0	118979	-52187	0	0	112432	0	-16982	611	-89124	933	205	874
219	1	125633747	27	19	0	115895	-53424	0	0	108584	0	-16782	611	-97248	897	89	831
220	2	103000000	5	19	0	116999	-53320	0	0	110085	0	-18032	611	-96826	900	102	835
221	2	103000000	5	20	0	118103	-53216	0	0	111586	0	-19282	611	-96366	903	102	838
222	0	222068170	0	18	0	123783	-53200	0	0	118988	0	-17782	611	-86718	939	248	883
223	0	98958692	0	19	0	126229	-53184	0	0	121761	0	-17782	611	-83010	956	362	908
224	1	145000000	25	18	0	122729	-54064	0	0	116356	0	-17782	611	-91833	933	208	874
225	1	125695484	27	19	0	119632	-55282	0	0	112367	0	-17725	611	-100010	897	96	832
226	2	103000000	5	20	0	120736	-55178	0	0	113868	0	-18975	611	-99584	900	102	835
227	2	103000000	5	20	0	121840	-55074	0	0	115369	0	-20225	611	-99113	904	135	841
228	0	220486762	0	18	0	127460	-55058	0	0	122744	0	-18725	611	-89544	939	248	883
229	0	102066119	0	19	0	130015	-55042	0	0	125694	0	-18725	611	-85622	956	362	908
230	1	145000000	25	18	0	126515	-55922	0	0	120289	0	-18725	611	-94445	933	212	875
231	1	126669274	27	19	0	123393	-57121	0	0	116183	0	-18725	611	-102676	898	102	834
232	2	103000000	5	20	0	124497	-57017	0	0	117684	0	-19975	611	-102246	901	102	836
233	2	103000000	5	19	0	125601	-56913	0	0	119185	0	-21225	611	-101797	905	184	846
234	0	218889231	0	18	0	131152	-56897	0	0	126528	0	-19725	611	-92326	939	248	883
235	0	106319221	0	18	0	133797	-56881	0	0	129627	0	-19725	611	-88225	956	362	908
236	1	145000000	25	18	0	130297	-57761	0	0	124222	0	-19725	611	-97047	933	217	875
237	1	127714194	27	19	0	127149	-58942	0	0	120025	0	-19725	611	-105324	899	102	835
238	2	103000000	5	20	0	128253	-58838	0	0	121526	0	-20975	611	-104878	902	102	837
239	2	103000000	5	19	0	129357	-58734	0	0	123027	0	-22225	611	-104425	907	190	849
240	0	217336799	0	18	0	134840	-58718	0	0	130338	0	-20734	611	-95046	939	248	883
241	0	109821086	0	18	0	137555	-58702	0	0	133549	0	-20734	611	-90814	956	362	908
242	1	145000000	25	18	0	134055	-59582	0	0	128144	0	-20734	611	-99632	934	222	876
243	1	129803096	26	20	0	130902	-60744	0	0	123887	0	-20734	611	-107914	900	102	835
244	2	103000000	5	20	0	132006	-60640	0	0	125388	0	-21984	611	-107450	904	153	843
245	2	105794565	35	19	0	133038	-60544	0	0	126633	0	-23234	611	-107411	907	190	849
246	0	217747611	0	18	0	138535	-60528	0	0	133950	0	-21734	611	-98015	939	248	883
247	0	115826347	0	18	0	141355	-60512	0	0	137330	0	-21734	611	-93576	956	362	908
248	1	145000000	25	18	0	137855	-61392	0	0	131925	0	-21734	611	-102391	934	224	876
249	1	130092416	26	20	0	134715	-62545	0	0	127660	0	-21734	611	-110643	901	102	836
250	2	103000000	5	19	0	135819	-62441	0	0	129161	0	-22984	611	-110189	904	190	847
251	2	111943855	35	19	0	136786	-62355	0	0	130191	0	-24234	611	-110475	907	190	849
252	0	218305338	0	18	0	142303	-62339	0	0	137519	0	-22734	611	-101050	939	248	883
253	0	118000000	0	19	0	145157	-62323	0	0	140951	0	-22734	611	-96551	956	362	908
254	1	145000000	25	18	0	141657	-63203	0	0	135546	0	-22734	611	-105373	934	221	876
255	1	130084100	26	20	0	138518	-64355	0	0	131281	0	-22734	611	-113621	901	102	837
256	2	103000000	5	19	0	139622	-64251	0	0	132782	0	-23984	611	-113177	905	190	847
257	2	113536990	35	19	0	140571	-64166	0	0	133755	0	-25234	611	-113551	907	190	849
258	0	218736427	0	18	0	146102	-64150	0	0	141092	0	-23734	611	-104104	939	248	883
259	0	118000000	0	19	0	148956	-64134	0	0	144524	0	-23734	611	-99604	956	301	903
260	1	145000000	25	18	0	145456	-65014	0	0	139119	0	-23734	611	-108426	934	218	876
261	1	130360451	26	20	0	142309	-66170	0	0	134946	0	-23547	611	-116653	901	102	837
262	2	103000000	5	19	0	143413	-66066	0	0	136447	0	-24797	611	-116212	905	190	847
263	2	115095995	35	19	0	144348	-65984	0	0	137371	0	-26047	611	-116660	906	190	848
264	0	219240922	0	18	0	149902	-65968	0	0	144719	0	-24547	611	-107184	939	248	883
265	0	118000000	0	19	0	152756	-65952	0	0	148151	0	-24547	611	-102684	956	248	898
266	1	145000000	25	18	0	149256	-66832	0	0	142746	0	-24547	611	-111507	933	214	875
267	1	130882919	26	20	0	146100	-67993	0	0	138644	0	-24218	611	-119723	902	102	837
268	2	103000000	5	19	0	147204	-67889	0	0	140145	0	-25468	611	-119282	905	190	847
269	2	116495695	35	19	0	148125	-67809	0	0	141029	0	-26718	611	-119796	906	190	848
270	0	219876831	0	18	0	153703	-67793	0	0	148388	0	-25218	611	-110283	939	248	883
271	0	118000000	0	19	0	156557	-67777	0	0	151820	0	-25218	611	-105782	956	248	898
272	1	145000000	25	18	0	153057	-68657	0	0	146415	0	-25218	611	-114605	933	210	875
273	1	130574430	26	20	0	149901	-69820	0	0	142337	0	-24853	611	-122813	902	102	837
274	2	103000000	5	19	0	151005	-69716	0	0	143838	0	-26103	611	-122372	905	190	847
275	2	117332630	35	19	0	151916	-69637	0	0	144686	0	-27353	611	-122934	905	190	847
276	0	220354315	0	18	0	157518	-69621	0	0	152054	0	-25853	611	-113390	939	248	883
277	0	118000000	0	19	0	160372	-69605	0	0	155486	0	-25853	611	-108891	956	248	898
278	1	145000000	25	18	0	156872	-70485	0	0	150081	0	-25853	611	-117714	933	206	874
279	1	129904563	27	20	0	153720	-71649	0	0	146017	0	-25478	611	-125913	902	102	837
280	2	103000000	5	19	0	154824	-71545	0	0	147518	0	-26728	611	-125470	905	190	847
281	2	118071315	35	19	0	155728	-71467	0	0	148340	0	-27978	611	-126070	905	190	847
282	0	220868310	0	18	0	161351	-71451	0	0	155718	0	-26478	611	-116497	939	246	883
283	0	118000000	0	18	0	164205	-71435	0	0	159150	0	-26478	611	-111998	953	248	896
284	1	145000000	25	18	0	160705	-72315	0	0	153745	0	-26478	611	-120820	933	204	874
285	1	129409595	27	20	0	157551	-73484	0	0	149695	0	-26096	611	-129022	902	102	837
286	2	103000000	5	19	0	158655	-73380	0	0	151196	0	-27346	611	-128577	905	190	847
287	2	118771590	35	19	0	159552	-73304	0	0	151996	0	-28596	611	-129208	905	190	847
288	0	221430788	0	18	0	165196	-73288	0	0	159384	0	-27096	611	-119608	939	242	882
289	0	118000000	0	18	0	168050	-73272	0	0	162816	0	-27096	611	-115109	945	248	889
290	1	145000000	25	18	0	164550	-74152	0	0	157411	0	-27096	611	-123931	932	204	873
291	1	129126772	27	20	0	161394	-75325	0	0	153371	0	-26713	611	-132137	902	102	837
292	2	103000000	5	19	0	162498	-75221	0	0	154872	0	-27963	611	-131690	905	190	847
293	2	119421855	35	19	0	163389	-75145	0	0	155651	0	-29213	611	-132347	905	190	847
294	0	222032523	0	18	0	169052	-75129	0	0	163049	0	-27713	611	-122720	939	237	882
